"功能模块","需求项","快速判断","对应合同","备注（理解）"
"问答","标准规范、行业知识、企业管理问答","部分相关，需解释","合同第（3）条：""引入领域水文知识提示机制""；""探索语义增强、控制引导等水文知识嵌入方式""","可将水文规范、行业知识问答理解为水文知识嵌入能力的应用化表达；但企业管理问答明显超出合同约定范围。"
"问数（调用系统数据实现数据问答功能）","询问某个监测站点当前监测数值，AI给出答案后询问是否系统定位，确认后GIS地图自动定位至该测点并展示过程线","合同未提及","无直接对应条款；可间接参考合同第（1）条“多源水文、气象数据的统一接入与标准化预处理”","合同覆盖的是数据接入、处理、模型调用和结果输出，不覆盖自然语言问数、GIS联动定位、过程线展示等应用层功能。"
"问数（调用系统数据实现数据问答功能）","询问某个监测站点指定时间范围内的监测数值并在AI页面绘制曲线","合同未提及","无直接对应条款；可间接参考合同第（1）条“多源水文、气象数据的统一接入与标准化预处理”","可建立在合同中的数据接入能力之上，但“时间范围查询 + 页面绘图”属于数据服务与可视化扩展，不是合同明确交付项。"
"问数（调用系统数据实现数据问答功能）","询问历史调度信息，总结历史调度情况并给出相应参考文件","合同未提及","无直接对应条款","合同未涉及历史调度知识问答、调度资料检索或参考文件推荐。"
"问数（调用系统数据实现数据问答功能）","历史最大洪水、最大降雨、历史发电记录信息问答","合同未提及","无直接对应条款；其中历史洪水、降雨数据可与合同第（3）条历史水文气象要素输入相关","合同未写明统计问答功能；尤其历史发电记录已超出水文预测主线。"
"洪水预报调度预演","洪水预报：AI页面给出参数输入引导，根据用户输入参数调用洪水预报模型并展示预报结果（包括图）","明确在合同内","合同第（1）条：""围绕流域来水预报需求""；""完成模型加载、调用、结果输出等核心流程集成""；合同第（4）条：""结果输出机制""","这是合同核心能力的直接落地，属于预测模型调用与结果展示。"
"洪水预报调度预演","洪水预报调度：AI页面给出参数输入引导，根据用户输入参数调用洪水预报模型和调度模型，并展示预报调度结果（包括图）","部分相关，需解释","可关联合同第（2）条：""协同策略调度机制""；但该条更偏向模型间协同、调用优先级和信息共享","若仅理解为多模型协同运行，可勉强挂靠合同第（2）条；但若指水库/闸门等业务调度，则合同并未明确约定。"
"洪水预报调度预演","洪水（预报调度）预演：询问历史洪水淹没情况，AI页面总结淹没情况，并在确认后展示三维预演成果","合同未提及","无直接对应条款","该项通常需要引入淹没分析、水动力模型和三维可视化能力，明显超出合同中的预测系统、模型协同和误差修正范围。"
"辅助决策","输入当前大坝、厂房、闸门等故障信息，给出可能原因、解决措施和依据，并给出历史相似故障记录","合同未提及","无直接对应条款","这是设备运维诊断与专家知识推理场景，不属于合同中的来水/洪水预测系统建设内容。"
"辅助决策","AI页面给出参数输入引导，根据输入直接给出调度建议和依据","合同未提及","无直接对应条款；可间接关联合同第（1）条、第（4）条中的预测结果输出","合同可支撑预测结果生成，但“直接给出调度建议和依据”属于业务决策能力延伸，不是合同明确交付项。"
"智能培训","根据用户输入的操作指令，给出操作步骤，最好能给出相应的操作视频","合同未提及","无直接对应条款","属于培训与知识服务系统能力，不属于预测系统建设范围。"
"知识库","支持用户更新知识库","部分相关，需解释","合同第（3）条：""引入领域水文知识提示机制""；""探索...水文知识嵌入方式""","知识库可以作为水文知识嵌入的实现载体，但“用户可维护更新知识库”并未在合同中被明确写成独立产品功能。"
"校核","根据行业标准校核当前文本错误","合同未提及","无直接对应条款","这是文本审校/规则校核能力，和预测系统合同边界不同。"
"应急快报","根据监测数据自动生成预警单，支持用户下载编辑","部分相关，需解释","可关联合同第（1）条：""结果输出等核心流程集成""；合同第（4）条：""结果输出机制""","合同可以支撑预测/监测结果输出，但没有明确写到预警单、文书生成、下载编辑等业务文档能力。"
"应急快报","根据要求匹配应急预案，生成应急单","合同未提及","无直接对应条款","需要预案匹配、规则引擎和文书生成能力，合同中未涉及。"
"应急快报","根据历史方案和应急预案要求，实现应急演练方案自动生成，支持用户下载编辑","合同未提及","无直接对应条款","属于应急管理和演练方案编制能力，超出合同的预测系统建设范围。"
